survey_year,duration,event,female,age,age_group,education,race_eth,married,industry,great_recession,weight
2002,4,1,0,32,30-39,Some college,White non-Hispanic,0,,0,2170.4612
2002,4,1,0,35,30-39,HS diploma,Hispanic,1,Agriculture/mining,0,2816.723
2002,1,0,0,43,40-49,Some college,White non-Hispanic,1,Construction,0,2299.2403
2002,20,1,0,42,40-49,Some college,White non-Hispanic,1,Entertainment/hospitality,0,3233.3207
2002,6,1,1,42,40-49,HS diploma,White non-Hispanic,1,Manufacturing,0,2426.8458
2002,1,0,1,36,30-39,College plus,White non-Hispanic,1,,0,2562.0742
2002,1,1,0,35,30-39,HS diploma,White non-Hispanic,0,Construction,0,2681.1544
2002,1,1,1,30,30-39,College plus,White non-Hispanic,0,Construction,0,2427.2171
2002,1,1,0,39,30-39,College plus,White non-Hispanic,0,Professional services,0,5381.7833
2002,10,1,0,38,30-39,College plus,White non-Hispanic,1,Entertainment/hospitality,0,4930.6195
2002,8,1,0,48,40-49,College plus,White non-Hispanic,0,Manufacturing,0,1968.5478
2002,1,0,0,39,30-39,College plus,White non-Hispanic,1,Public admin,0,369.5962
2002,15,1,1,38,30-39,College plus,White non-Hispanic,1,Education/health,0,347.8647
2002,2,1,0,48,40-49,HS diploma,White non-Hispanic,1,Manufacturing,0,2860.2359
2002,3,1,0,21,20-29,Some college,White non-Hispanic,0,Professional services,0,3014.4524
2002,6,1,0,23,20-29,HS diploma,White non-Hispanic,1,Business/repair services,0,3014.4524
2002,23,1,1,28,20-29,Some college,White non-Hispanic,0,Education/health,0,2434.1189
2002,1,0,1,46,40-49,HS diploma,White non-Hispanic,0,Trade,0,2427.43
2002,2,1,1,43,40-49,College plus,White non-Hispanic,1,Education/health,0,2440.457
2002,1,1,1,30,30-39,College plus,White non-Hispanic,0,Trade,0,1107.8086
2002,12,1,1,58,50-59,Some college,White non-Hispanic,1,Entertainment/hospitality,0,2474.8105
2002,8,1,0,25,20-29,Less than HS,Black non-Hispanic,0,Education/health,0,2752.8848
2002,16,1,0,45,40-49,College plus,White non-Hispanic,1,Education/health,0,2231.2215
2002,9,1,1,29,20-29,Some college,White non-Hispanic,0,Professional services,0,2197.5961
2002,52,1,1,23,20-29,College plus,White non-Hispanic,0,Entertainment/hospitality,0,866.5276
2002,16,1,0,25,20-29,Some college,Other/multiracial,0,Trade,0,883.2086
2002,1,0,0,52,50-59,Some college,Hispanic,0,Professional services,0,867.6783
2002,6,1,1,28,20-29,College plus,Other/multiracial,0,Education/health,0,2532.9726
2002,1,0,0,34,30-39,Some college,Black non-Hispanic,1,Professional services,0,3016.4281
2002,104,1,1,58,50-59,HS diploma,Black non-Hispanic,0,Business/repair services,0,3623.7587
2002,6,1,0,39,30-39,Some college,White non-Hispanic,1,Business/repair services,0,2408.4076
2002,1,1,1,35,30-39,Some college,White non-Hispanic,1,Education/health,0,2320.2978
2002,11,1,0,52,50-59,College plus,White non-Hispanic,1,Manufacturing,0,1309.1189
2002,1,0,0,58,50-59,College plus,White non-Hispanic,1,Manufacturing,0,1216.4109
2002,6,1,0,57,50-59,Some college,White non-Hispanic,1,Construction,0,1980.8171
2002,20,1,1,58,50-59,Some college,White non-Hispanic,0,Business/repair services,0,2060.6453
2002,1,0,1,50,50-59,HS diploma,Black non-Hispanic,0,Manufacturing,0,2565.1866
2002,12,1,1,27,20-29,Some college,Hispanic,1,Business/repair services,0,431.481
2002,3,1,1,39,30-39,HS diploma,White non-Hispanic,1,Business/repair services,0,3483.2897
2002,12,1,0,44,40-49,College plus,White non-Hispanic,1,Entertainment/hospitality,0,3735.8912
2002,1,0,1,55,50-59,Some college,White non-Hispanic,1,,0,3684.0993
2002,5,1,1,24,20-29,HS diploma,Hispanic,0,Business/repair services,0,3018.8864
2002,1,0,1,26,20-29,College plus,White non-Hispanic,0,Education/health,0,1967.6781
2002,24,1,1,40,40-49,College plus,White non-Hispanic,0,Education/health,0,1649.1364
2002,16,1,1,20,20-29,Some college,White non-Hispanic,0,Business/repair services,0,2017.8313
2002,24,1,1,38,30-39,Some college,White non-Hispanic,1,Business/repair services,0,3395.1275
2002,10,1,1,47,40-49,College plus,White non-Hispanic,1,Education/health,0,319.6371
2002,1,0,1,29,20-29,HS diploma,Black non-Hispanic,0,Manufacturing,0,3128.0254
2002,12,1,0,46,40-49,Some college,White non-Hispanic,1,Business/repair services,0,4869.3667
2002,5,1,0,36,30-39,Less than HS,White non-Hispanic,1,Construction,0,2183.7567
2002,1,0,0,32,30-39,Less than HS,Black non-Hispanic,1,Business/repair services,0,2470.1114
2002,20,1,0,54,50-59,College plus,White non-Hispanic,0,Manufacturing,0,2580.4169
2002,52,1,1,35,30-39,College plus,White non-Hispanic,1,Business/repair services,0,2401.3318
2002,1,1,1,29,20-29,College plus,White non-Hispanic,1,Manufacturing,0,2763.1492
2002,1,1,1,21,20-29,Some college,White non-Hispanic,0,Education/health,0,846.2632
2002,1,0,1,31,30-39,College plus,White non-Hispanic,0,Professional services,0,2748.0901
2002,1,1,0,38,30-39,College plus,White non-Hispanic,1,Business/repair services,0,2638.9956
2002,3,1,1,45,40-49,College plus,White non-Hispanic,1,Education/health,0,2336.1425
2002,2,1,0,41,40-49,Some college,White non-Hispanic,1,Business/repair services,0,390.4448
2002,7,1,0,48,40-49,College plus,White non-Hispanic,1,Trade,0,403.0925
2002,12,1,1,67,60+,Some college,White non-Hispanic,0,Professional services,0,233.4151
2002,1,1,0,25,20-29,HS diploma,White non-Hispanic,1,Construction,0,5608.6131
2002,3,1,1,38,30-39,Less than HS,White non-Hispanic,0,Manufacturing,0,434.0166
2002,1,0,0,42,40-49,Less than HS,Black non-Hispanic,0,Entertainment/hospitality,0,398.3192
2002,4,1,1,24,20-29,Some college,Black non-Hispanic,0,Professional services,0,4271.9903
2002,1,0,1,29,20-29,Some college,Black non-Hispanic,0,,0,5678.4315
2002,1,0,0,45,40-49,HS diploma,White non-Hispanic,0,Trade,0,2354.5923
2002,50,1,1,60,60+,Some college,Black non-Hispanic,0,Business/repair services,0,2137.7722
2002,1,1,0,26,20-29,Some college,Black non-Hispanic,0,Construction,0,3322.6602
2002,1,1,0,46,40-49,HS diploma,White non-Hispanic,1,Business/repair services,0,1263.1422
2002,3,1,0,39,30-39,HS diploma,Black non-Hispanic,0,Business/repair services,0,3120.6172
2002,20,1,0,53,50-59,College plus,White non-Hispanic,0,Education/health,0,1996.9032
2002,28,1,1,33,30-39,Some college,White non-Hispanic,0,Education/health,0,2139.7981
2002,3,1,1,43,40-49,Less than HS,Hispanic,0,Public admin,0,2495.8685
2002,1,0,1,52,50-59,College plus,White non-Hispanic,0,,0,2213.525
2002,6,1,0,27,20-29,Some college,White non-Hispanic,0,Manufacturing,0,2395.8185
2002,104,1,1,25,20-29,Some college,White non-Hispanic,0,,0,2456.6853
2002,1,0,1,44,40-49,College plus,White non-Hispanic,1,Trade,0,728.7681
2002,3,1,0,51,50-59,Some college,White non-Hispanic,0,Trade,0,781.9874
2002,104,1,0,39,30-39,Less than HS,Hispanic,1,Construction,0,1249.5074
2002,1,0,1,29,20-29,Some college,Hispanic,0,,0,2977.6391
2002,20,1,1,46,40-49,Some college,White non-Hispanic,0,Entertainment/hospitality,0,2609.338
2002,14,1,0,30,30-39,Some college,White non-Hispanic,1,,0,3316.3606
2002,8,1,1,26,20-29,College plus,Hispanic,0,Trade,0,2532.8759
2002,1,0,0,34,30-39,HS diploma,White non-Hispanic,0,Manufacturing,0,1750.6347
2002,1,0,0,62,60+,College plus,White non-Hispanic,1,,0,1344.8738
2002,1,0,1,44,40-49,HS diploma,Hispanic,1,,0,3733.9981
2002,16,1,0,33,30-39,Some college,White non-Hispanic,1,Manufacturing,0,2405.2757
2002,104,1,1,45,40-49,HS diploma,Black non-Hispanic,0,Manufacturing,0,1874.0111
2002,6,1,0,42,40-49,College plus,White non-Hispanic,1,Education/health,0,279.3627
2002,4,1,1,54,50-59,HS diploma,White non-Hispanic,0,Education/health,0,2381.5761
2002,1,0,1,38,30-39,Some college,White non-Hispanic,1,,0,2569.4551
2002,1,0,0,53,50-59,HS diploma,White non-Hispanic,1,Construction,0,1630.0199
2002,104,1,1,47,40-49,HS diploma,White non-Hispanic,1,Manufacturing,0,2609.338
2002,16,1,1,27,20-29,College plus,White non-Hispanic,0,Manufacturing,0,2686.0751
2002,10,1,1,37,30-39,Some college,White non-Hispanic,0,Trade,0,2192.4923
2002,37,1,1,49,40-49,HS diploma,White non-Hispanic,0,Manufacturing,0,2248.5301
2002,40,1,0,54,50-59,Some college,Other/multiracial,0,Manufacturing,0,3470.318
2002,6,1,0,38,30-39,College plus,White non-Hispanic,1,Finance/insurance/RE,0,1807.7493
2002,1,1,0,26,20-29,HS diploma,White non-Hispanic,0,Manufacturing,0,943.3679
2002,1,0,1,26,20-29,College plus,White non-Hispanic,1,,0,1338.4552
2002,1,0,0,24,20-29,HS diploma,Hispanic,0,Professional services,0,1377.416
2002,8,1,0,55,50-59,Some college,White non-Hispanic,1,Business/repair services,0,2674.3909
2002,1,1,1,53,50-59,HS diploma,White non-Hispanic,1,Business/repair services,0,259.998
2002,1,0,1,37,30-39,Some college,Hispanic,1,Finance/insurance/RE,0,2050.2113
2002,1,0,1,43,40-49,HS diploma,White non-Hispanic,1,,0,1889.0045
2002,1,0,0,41,40-49,HS diploma,Black non-Hispanic,1,,0,3900.9865
2002,104,1,0,51,50-59,College plus,White non-Hispanic,1,Public admin,0,2357.0087
2002,1,1,1,21,20-29,HS diploma,White non-Hispanic,0,Professional services,0,4869.2262
2002,4,1,0,53,50-59,College plus,White non-Hispanic,1,Manufacturing,0,3971.7865
2002,1,0,1,44,40-49,College plus,White non-Hispanic,1,Finance/insurance/RE,0,1546.7574
2002,1,1,1,58,50-59,Some college,White non-Hispanic,1,Construction,0,1436.5003
2002,1,0,1,21,20-29,Less than HS,Black non-Hispanic,0,,0,442.8809
2002,1,0,0,61,60+,HS diploma,White non-Hispanic,0,Education/health,0,896.8731
2002,1,0,1,64,60+,College plus,White non-Hispanic,1,,0,2048.0701
2002,8,1,0,59,50-59,Some college,White non-Hispanic,1,Business/repair services,0,2194.7842
2002,1,0,0,41,40-49,HS diploma,White non-Hispanic,1,Manufacturing,0,2440.6803
2002,1,1,0,33,30-39,Less than HS,Black non-Hispanic,0,Manufacturing,0,3933.2923
2002,9,1,0,45,40-49,College plus,White non-Hispanic,1,Construction,0,2654.0736
2002,12,1,0,22,20-29,Some college,White non-Hispanic,0,Business/repair services,0,1838.9934
2002,104,1,0,45,40-49,HS diploma,White non-Hispanic,1,Trade,0,2326.727
2002,6,1,1,43,40-49,HS diploma,Black non-Hispanic,0,Trade,0,2363.2924
2002,28,1,0,56,50-59,HS diploma,White non-Hispanic,1,Manufacturing,0,2107.795
2002,1,0,0,46,40-49,HS diploma,White non-Hispanic,1,Manufacturing,0,497.5338
2002,4,1,1,46,40-49,College plus,White non-Hispanic,0,Education/health,0,2181.1612
2002,3,1,1,43,40-49,HS diploma,Hispanic,0,Manufacturing,0,2126.237
2002,6,1,0,28,20-29,College plus,Other/multiracial,1,Professional services,0,1839.2885
2002,1,0,0,52,50-59,College plus,White non-Hispanic,0,Professional services,0,993.1144
2002,1,1,0,46,40-49,College plus,White non-Hispanic,0,Professional services,0,1106.4896
2002,1,0,0,26,20-29,Some college,White non-Hispanic,0,Trade,0,2530.0283
2002,1,0,1,54,50-59,College plus,White non-Hispanic,1,Construction,0,2023.0481
2002,1,0,1,73,60+,Some college,White non-Hispanic,0,,0,1934.531
2002,12,1,0,42,40-49,College plus,White non-Hispanic,1,Business/repair services,0,1912.5982
2002,12,1,0,41,40-49,HS diploma,White non-Hispanic,0,Finance/insurance/RE,0,1429.3441
